Country	Type	Mountain	Latitude	Longitude	Elevation
Croatia	Mountain	Psunj	45.3865766	17.3317247	986 m
Croatia	Mountain	Papuk	45.5227525	17.6046834	953 m
Iceland	Volcano	Hekla	64.001427	-19.708028	1491 m
Iceland	Volcano	Laki	64.084961	-18.179042	818 m
Iceland	Volcano	Hvannadalshnúkur	64.044082	-16.65378	2119 m
Argentina	Volcano	Cazador	-27.193381	-68.559162	6658 m
Argentina	Mountain	Chivinar	-24.343917	-67.34557	4309 m
Argentina	Mountain	Mount Champaquí	-31.983017	-64.938788	2790 m
Argentina	MountainRange	Ventana Mountains	-38.049114	-62.019731	1134 m
Argentina	Mountain	Loma del Muerto	-51.5840883	-72.3382719	760
Argentina	Mountain	Cerro Monte Chico	-51.2010015	-72.3040777	719
Argentina	Mountain	Cerro Daudet	-50.775	-73.1025	1442
Argentina	Mountain	Cerro Huemul	-49.4233108	-73.034338	2677
Argentina	Mountain	Cerro Grande	-49.3384295	-73.095715	2751
Argentina	Mountain	Adela Sur	-49.3127381	-73.0947731	2840
Argentina	Mountain	Cerro Pollone	-49.2530555	-73.0883646	2579
Argentina	Mountain	Cerro Rasgado	-48.0720659	-72.3839344	1840
Argentina	Mountain	Pico Triangular Sur	-46.985165	-71.9185909	2588
Argentina	Mountain	Cerro Cabeza Blanca	-46.2649346	-71.7360785	1007
Argentina	Mountain	Cerro Teta	-46.197283	-71.7810344	1784
Argentina	Mountain	Cerro Tres Picos	-39.4805798	-71.4692477	1764
Argentina	Mountain	Cerro Kiñewen	-34.4661059	-70.0789792	4130
Argentina	Mountain	Cerro Punta Arena	-39.1649664	-71.4010081	2090
Argentina	Mountain	Cerro La Mano	-36.2170788	-70.6330193	3006
Argentina	Mountain	Marmolejo Norte Antecumbre Norte	-33.701225	-69.8713732	5399
Indonesia	Mountain	Bulu Rantekombola	-3.35	120.01667	3455 m
Indonesia	Volcano	Mount Semeru	-8.1123957	112.9231715	3676 m
Indonesia	Volcano	Mount Abang	-8.2834319	115.4220368	2151 m
Indonesia	Volcano	Mount Agung	-8.3414438	115.5073727	2567 m
Indonesia	Mountain	Mount Rinjani	-8.414397	116.466408	3726 m
Indonesia	Volcano	Mount Kerinci	-1.702859	101.262711	3805 m
Indonesia	Volcano	Krakatau	-6.153474	105.434105	813 m
Indonesia	Volcano	Mount Merapi	-7.55	110.433334	2911 m
